Order_ID,Order_Date,City,State,Zone,Distance_km,Package_Weight_kg,Service_Type,Payment_Mode,Customer_Segment,Courier_Partner,Traffic_Level,Weather,Promised_Delivery_Hrs,Actual_Delivery_Hrs,Delay_Hrs,On_Time_Flag,Last_Mile_Status,Customer_Rating
ORD000001,2025-12-21,Pune,MH,North,8.5,0.53,Standard,Prepaid,Returning,Shadowfax,High,Clear,20,25.3,5.3,No,Delivered,4
ORD000002,2026-01-19,Patna,BR,West,0.8,0.95,Standard,Prepaid,VIP,DTDC,Low,Storm,12,17.4,5.4,No,Delivered,5
ORD000003,2026-01-12,Kochi,KL,Central,4.1,1.06,Standard,Prepaid,Returning,EcomExpress,Medium,Clear,43,44.3,1.3,No,Delivered,4
ORD000004,2026-01-17,Jaipur,RJ,East,8.3,0.67,Express,COD,Returning,Shadowfax,Severe,Clear,10,16.2,6.2,No,Delivered,4
ORD000005,2026-02-13,Jaipur,RJ,North,2.1,1.52,Standard,Prepaid,Returning,Shadowfax,Medium,Clear,37,39.7,2.7,No,Delivered,5
ORD000006,2026-01-10,Chandigarh,CH,North,12.4,1.03,Express,COD,Returning,DTDC,Low,Rain,15,20.0,5.0,No,Delivered,4
ORD000007,2026-03-05,Pune,MH,Central,9.6,0.86,Standard,COD,VIP,Ekart,High,Rain,14,20.3,6.3,No,Delivered,4
ORD000008,2025-12-05,Kochi,KL,Central,3.9,1.13,Express,COD,Returning,AmazonLogistics,Medium,Clear,16,15.0,-1.0,Yes,Delivered,5
ORD000009,2025-12-21,Hyderabad,TG,South,1.6,2.28,Express,Prepaid,New,XpressBees,High,Rain,15,21.2,6.2,No,Delivered,3
ORD000010,2025-12-28,Pune,MH,West,4.6,0.3,Express,Prepaid,New,XpressBees,High,Clear,9,11.0,2.0,No,Delivered,4
ORD000011,2025-12-14,Surat,GJ,South,3.9,2.41,Standard,COD,Returning,XpressBees,Low,Rain,28,29.1,1.1,No,Delivered,4
ORD000012,2025-12-19,Noida,UP,South,2.6,0.76,SameDay,Prepaid,VIP,XpressBees,Medium,Clear,4,3.5,-0.5,Yes,Delivered,4
ORD000013,2025-12-14,Coimbatore,TN,North,1.9,0.69,Standard,COD,New,Delhivery,Medium,Clear,44,44.9,0.9,No,Delivered,4
ORD000014,2025-12-19,Patna,BR,North,6.6,0.87,Express,Prepaid,VIP,DTDC,High,Clear,13,17.2,4.2,No,Delivered,4
ORD000015,2026-01-10,Coimbatore,TN,North,10.4,0.65,Standard,Prepaid,New,DTDC,Medium,Rain,14,19.9,5.9,No,Delivered,3
ORD000016,2025-12-16,Patna,BR,East,4.7,0.59,Standard,Prepaid,Returning,Shadowfax,High,Clear,23,26.4,3.4,No,Delivered,4
ORD000017,2026-01-18,Surat,GJ,North,9.3,1.84,Express,Prepaid,VIP,AmazonLogistics,Medium,Clear,18,21.6,3.6,No,Delivered,4
ORD000018,2026-02-17,Delhi,DL,North,6.2,1.22,Standard,Prepaid,VIP,DTDC,Medium,Clear,41,42.7,1.7,No,Delivered,5
