id,question,answer,category
1,"What is the company policy on buyout policy for intern employees in the separation framework, scenario #8929?",Notice buyout may be allowed for up to 1 days subject to management approval.,Separation
2,"What is the company policy on offer validity for contract employees in our recruitment framework, scenario #712?",An employment offer is normally valid for 15 calendar days from the issue date.,Recruitment
3,"What is the company policy on emergency drill for sales employees in our workplace & facilities framework, scenario #5978?",Employees must participate in at least 18 emergency drill(s) per year where scheduled.,Workplace & Facilities
4,"What is the company policy on location approval for probationary employees in our remote work framework, scenario #6573?",Employees must obtain approval before working remotely from a location outside their registered city for more than 12 days.,Remote Work
5,"What is the company policy on parental insurance for managerial employees in the benefits framework, scenario #2267?",Parents may be added to insurance by paying the applicable premium during the enrollment window in April.,Benefits
6,"What is the company policy on software installation for contract employees in our it & security framework, scenario #1828?","Only approved software may be installed, and requests should be raised through IT at least 3 day(s) in advance.",IT & Security
7,"What is the company policy on education support for sales employees in our benefits framework, scenario #8006?",Job-related certification reimbursement is capped at ₹500 per year after manager approval.,Benefits
8,"What is the company policy on sick leave for full-time employees in our leave policy framework, scenario #3471?","Sick leave entitlement is 30 days per year, and medical proof is required after 6 consecutive days of absence.",Leave Policy
9,"What is the company policy on usb policy for engineering employees in the it & security framework, scenario #965?",Use of personal USB devices on company systems is prohibited unless approved for up to 23 days.,IT & Security
10,"What is the company policy on salary revision for intern employees in our compensation framework, scenario #5805?",Salary revisions are normally effective from February based on performance and business conditions.,Compensation
11,"What is the company policy on rehire policy for probationary employees in our recruitment framework, scenario #7580?","Former employees may be considered for rehire after a cooling period of 15 months, subject to records review.",Recruitment
12,"What is the company policy on salary revision for full-time employees in our compensation framework, scenario #4346?",Salary revisions are normally effective from January based on performance and business conditions.,Compensation
13,"What is the company policy on dress code for managerial employees in the code of conduct framework, scenario #8321?",Employees are expected to follow formal dress standards on regular office days.,Code of Conduct
14,"What is the company policy on short breaks for intern employees in the attendance framework, scenario #4352?","Employees may take up to 3 short breaks per day, each not exceeding 10 minutes.",Attendance
15,"What is the company policy on document submission for engineering employees in the recruitment framework, scenario #6055?",New hires must submit all joining documents within 22 working days of the start date.,Recruitment
16,"What is the company policy on accident cover for full-time employees in the benefits framework, scenario #4326?",Accident insurance cover of ₹7500 is provided for employees on company rolls.,Benefits
17,"What is the company policy on software installation for support employees in the it & security framework, scenario #1833?","Only approved software may be installed, and requests should be raised through IT at least 9 day(s) in advance.",IT & Security
18,"What is the company policy on short breaks for contract employees in our attendance framework, scenario #2533?","Employees may take up to 18 short breaks per day, each not exceeding 1 minutes.",Attendance
19,"What is the company policy on bonus payout for contract employees in our compensation framework, scenario #5729?","Annual performance bonus, where applicable, is paid in January after review completion.",Compensation
20,"What is the company policy on wellness benefit for engineering employees in the benefits framework, scenario #1777?",Employees may claim wellness reimbursement of up to ₹2500 per year for approved activities.,Benefits
21,"What is the company policy on visa expense for probationary employees in our travel policy framework, scenario #2042?",Visa-related expenses for approved international travel are reimbursable through the standard expense process.,Travel Policy
22,"What is the company policy on access card for support employees in our workplace & facilities framework, scenario #9503?",Lost access cards must be reported within 17 hour(s) and replacement charges may apply.,Workplace & Facilities
23,"What is the company policy on per diem for intern employees in the travel policy framework, scenario #758?",Per diem for approved travel to category-1 locations is ₹50000 per day.,Travel Policy
24,"What is the company policy on travel allowance for intern employees in the compensation framework, scenario #9133?",Domestic business travel provides a daily allowance of ₹50000 for meals and local transport.,Compensation
25,"What is the company policy on salary revision for engineering employees in the compensation framework, scenario #4500?",Salary revisions are normally effective from November based on performance and business conditions.,Compensation
26,"What is the company policy on conflict of interest for engineering employees in our code of conduct framework, scenario #8891?",Potential conflicts of interest must be disclosed within 23 days of becoming known.,Code of Conduct
