date,department,vendor,approved_by_employee,invoice_id,transaction_amount,payment_method,monthly_revenue_recorded,payroll_amount,fraud_pattern_label
2023-11-28,HR,Beta Traders,EMP104,INV3681,2873,Bank Transfer,16168,11779,None
2024-03-20,Marketing,Delta Services,EMP101,INV2869,18556,Bank Transfer,47057,3968,None
2024-08-13,Sales,Om Industrial,EMP104,INV3140,2026,Bank Transfer,28979,5181,None
2024-11-29,Finance,Beta Traders,EMP101,INV2762,6656,Card,45896,4596,None
2024-06-28,Operations,Delta Services,EMP107,INV3891,19687,Cash,33696,10424,None
2024-06-21,HR,Delta Services,EMP103,INV3247,9935,Cash,17737,4199,None
2024-11-15,Finance,Alpha Supplies,EMP107,INV2696,10780,Card,48952,8737,None
2023-10-04,HR,Delta Services,EMP106,INV3497,2488,Bank Transfer,52410,8072,None
2024-11-15,IT,Gamma Logistics,EMP101,INV3251,6006,Cash,42354,4918,None
2025-06-11,Marketing,Delta Services,EMP101,INV3125,13661,Cash,18973,7552,None
2024-01-25,Sales,Beta Traders,EMP999,INV2475,5457,Bank Transfer,10790,12432,Ghost Employee
2024-07-01,Finance,Gamma Logistics,EMP105,INV3414,4612,Cash,50474,11445,None
2024-11-27,IT,Zenith Corp,EMP105,INV2807,13573,Cash,41557,4696,None
2023-12-15,Sales,Om Industrial,EMP101,INV2309,19072,Bank Transfer,16649,11791,None
2024-01-21,Operations,Beta Traders,EMP106,INV2971,12432,Cash,17559,5012,None
2023-04-15,HR,Rapid Parts,EMP103,INV3001,14000,Cash,43838,5645,Duplicate Invoice
2023-01-28,Operations,Zenith Corp,EMP105,INV3425,3482,Card,43973,7278,None
2025-03-08,HR,Om Industrial,EMP103,INV3650,6894,Bank Transfer,36259,6922,None
2023-01-30,Operations,Alpha Supplies,EMP107,INV2396,8992,Cash,39309,8640,None
2023-04-15,Marketing,Beta Traders,EMP104,INV2988,7196,Cash,41422,3031,None
2024-02-02,Marketing,Zenith Corp,EMP106,INV2888,6349,Cash,15685,8447,None
2025-01-12,Marketing,Beta Traders,EMP102,INV3209,5452,Bank Transfer,52982,10624,None
2023-12-25,Finance,Beta Traders,EMP105,INV2029,1201,Bank Transfer,44510,4683,None
2025-06-13,Operations,Beta Traders,EMP101,INV3026,10099,Bank Transfer,48432,6940,None
2025-01-27,HR,Gamma Logistics,EMP104,INV2861,17433,Card,207688,11219,Revenue Inflation
2024-09-15,Marketing,Alpha Supplies,EMP107,INV2969,5138,Bank Transfer,46469,4971,None
2025-03-06,Sales,Alpha Supplies,EMP105,INV2567,6768,Bank Transfer,16405,3691,None
2024-03-29,Finance,Gamma Logistics,EMP105,INV2408,17282,Card,39644,7541,None
2024-06-19,Marketing,Gamma Logistics,EMP105,INV2853,4993,Cash,35713,4992,None
2025-03-13,Marketing,Alpha Supplies,EMP107,INV2292,12499,Card,18995,7146,None
2024-05-13,Marketing,Beta Traders,EMP106,INV3055,14640,Bank Transfer,32224,9616,None
2023-12-13,IT,Om Industrial,EMP104,INV2787,1092,Card,43910,8431,None
2025-03-18,Sales,Beta Traders,EMP101,INV2081,9410,Cash,27723,5974,None
2024-02-20,Finance,Beta Traders,EMP105,INV3434,16707,Card,15862,8358,None
2023-10-03,Sales,Alpha Supplies,EMP106,INV3245,61245,Cash,14366,6643,Large Cash Payment
2024-09-28,Finance,Beta Traders,EMP101,INV3921,8313,Card,20580,4793,None
2024-06-27,Operations,Delta Services,EMP103,INV3376,16886,Cash,246086,5914,Revenue Inflation
2023-07-14,Marketing,Om Industrial,EMP104,INV3348,3982,Cash,53025,10080,None
2023-08-24,HR,Delta Services,EMP103,INV2828,5078,Card,13564,8694,Vendor Kickback
2024-03-17,Sales,Beta Traders,EMP101,INV3782,12980,Card,53944,11289,None
2023-07-09,IT,Delta Services,EMP103,INV2745,9125,Bank Transfer,45853,8389,Vendor Kickback
2023-07-07,IT,Alpha Supplies,EMP103,INV2571,16053,Bank Transfer,184625,11237,Revenue Inflation
2023-05-28,Sales,Delta Services,EMP105,INV2613,1237,Cash,51266,7984,None
2025-01-03,IT,Zenith Corp,EMP105,INV2306,16693,Cash,57458,7655,None
2024-03-15,Finance,Rapid Parts,EMP106,INV3541,17662,Bank Transfer,47255,11263,None
2024-12-29,HR,Rapid Parts,EMP106,INV2063,3288,Bank Transfer,18722,3685,None
2023-02-21,HR,Rapid Parts,EMP101,INV3002,8513,Card,10217,7321,None
2023-04-05,Sales,Rapid Parts,EMP105,INV2516,16027,Card,27403,4219,None
2024-04-16,IT,Delta Services,EMP107,INV3864,16196,Bank Transfer,13063,7707,None
2023-09-18,HR,Rapid Parts,EMP106,INV2273,19104,Cash,41615,3204,None
2023-10-25,Operations,Rapid Parts,EMP105,INV2955,15766,Cash,210158,4941,Revenue Inflation
2024-06-02,IT,Delta Services,EMP103,INV2152,7404,Bank Transfer,19289,4479,None
2024-10-08,Sales,Om Industrial,EMP103,INV2473,12466,Card,41859,11157,None
2024-02-20,Marketing,Delta Services,EMP103,INV2770,11770,Cash,17923,8178,Vendor Kickback
2023-07-20,HR,Rapid Parts,EMP101,INV2762,8797,Cash,35749,4064,None
2025-05-24,Sales,Alpha Supplies,EMP103,INV3300,9859,Bank Transfer,26339,5439,None
2025-03-14,HR,Delta Services,EMP101,INV3124,18658,Cash,57157,6333,None
2025-06-09,Sales,Gamma Logistics,EMP104,INV2349,4671,Card,37188,10736,None
2023-09-24,Marketing,Delta Services,EMP106,INV3141,16332,Cash,17847,9461,None
2023-08-14,IT,Delta Services,EMP103,INV3121,5074,Cash,25996,6152,None
2024-08-06,HR,Beta Traders,EMP101,INV2847,13044,Cash,23762,11587,None
2023-05-09,Finance,Rapid Parts,EMP105,INV2189,7576,Card,26282,7440,None
