id,category,question,answer
1,Account,How do I reset my password?,"Click 'Forgot Password' on the sign-in page, follow the email link, and choose a new password."
2,Account,How do I change my email address?,"Go to Profile > Account Settings > Email, verify the new address, and save changes."
3,Account,How do I update my phone number?,"Open Profile > Contact Information, enter the new number, verify it with the OTP, and save."
4,Account,How do I delete my account?,Navigate to Account Settings > Delete Account and follow the confirmation steps.
5,Account,Why can't I log in?,"Check your credentials, ensure Caps Lock is off, and reset your password if needed."
6,Account,How do I recover a forgotten username?,Use the 'Forgot Username' link on the sign-in page and enter your registered email to receive it.
7,Account,How do I enable two-factor authentication?,Go to Security Settings > Two-Factor Authentication and follow the setup wizard with your authenticator app.
8,Account,How do I disable two-factor authentication?,"Open Security Settings > Two-Factor Authentication and choose Disable, confirming with a verification code."
9,Account,How do I change my display name?,"Go to Profile > Edit Profile, update your display name, and save."
10,Account,How do I update my profile picture?,"Open Profile > Edit Profile, tap the avatar, and upload a new photo."
11,Account,Can I merge two accounts into one?,Contact support with both account emails; our team can merge order and profile history manually.
12,Account,What should I do if my account was hacked?,"Reset your password immediately, enable two-factor authentication, and contact support to review recent activity."
13,Account,How do I update my security questions?,Go to Security Settings > Security Questions and choose new questions and answers.
14,Account,How do I change my username?,Open Profile > Account Settings > Username; note that usernames can only be changed once every 30 days.
15,Account,What is the difference between deactivating and deleting my account?,Deactivating hides your profile temporarily and can be reversed by logging back in; deleting permanently removes your data after the grace period.
16,Account,Why is my account locked after failed login attempts?,Accounts lock for 15 minutes after 5 failed attempts as a security measure; wait or reset your password to regain access.
17,Account,How do I verify my email address?,Check your inbox for a verification email and click the confirmation link; resend it from Account Settings if needed.
18,Account,How do I unlink a social login from my account?,Go to Security Settings > Connected Accounts and select Disconnect next to the social provider.
19,Account,How do I link a social login to my account?,"Open Security Settings > Connected Accounts and select Connect next to Google, Facebook, or Apple."
20,Account,How do I change my country or region setting?,Go to Profile > Preferences > Region and select your new country; some settings may require re-verification.
21,Account,How do I update my date of birth?,"Contact support with a copy of your ID, since date of birth changes require identity verification."
22,Account,What are the password requirements?,"Passwords must be at least 8 characters and include a number, an uppercase letter, and a special character."
23,Account,How long does my login session last before timing out?,Sessions stay active for 30 minutes of inactivity before requiring you to sign in again.
24,Account,How do I log out of all devices at once?,Go to Security Settings > Active Sessions and select 'Log Out All Devices'.
25,Account,How do I view my login history?,"Open Security Settings > Login History to see recent sign-in times, locations, and devices."
26,Account,How can I recover my account using my phone number?,Select 'Use phone number instead' on the recovery screen and enter the OTP sent via SMS.
