Emp_ID,Age,Department,Role,Experience_Years,Salary,Performance_Score,Attendance_%,Overtime,Training_Hours,Attrition,Exit_Interview_Summary
1001,50,Production,Manager,3,85774,3,82,No,19,Yes,"Exiting Manager in Production (a mid-tenure employee, 3 yrs exp) left despite competitive pay, suggesting non-monetary drivers."
1002,36,Production,Technician,21,48752,5,78,No,8,Yes,"Exiting Technician in Production (a long-tenured employee, 21 yrs exp) felt compensation was below market rate for the role and was a strong, experienced performer who left for external career growth."
1003,29,Production,Supervisor,5,80029,2,90,Yes,49,Yes,"Exiting Supervisor in Production (a mid-tenure employee, 5 yrs exp) mentioned excessive overtime affecting work-life balance and had a low performance rating and expressed disengagement prior to leaving."
1004,42,HR,Supervisor,5,42685,2,97,No,16,Yes,"Exiting Supervisor in HR (a mid-tenure employee, 5 yrs exp) felt compensation was below market rate for the role and had a low performance rating and expressed disengagement prior to leaving."
1005,40,HR,Technician,19,76693,5,84,Yes,36,Yes,"Exiting Technician in HR (a long-tenured employee, 19 yrs exp) mentioned excessive overtime affecting work-life balance and was a strong, experienced performer who left for external career growth."
1006,44,HR,Technician,14,80961,4,86,Yes,36,Yes,"Exiting Technician in HR (a mid-tenure employee, 14 yrs exp) mentioned excessive overtime affecting work-life balance and was a strong, experienced performer who left for external career growth."
1007,32,Maintenance,Supervisor,4,101908,5,88,Yes,32,Yes,"Exiting Supervisor in Maintenance (a mid-tenure employee, 4 yrs exp) mentioned excessive overtime affecting work-life balance."
1008,32,IT,Technician,13,99532,4,88,Yes,17,Yes,"Exiting Technician in IT (a mid-tenure employee, 13 yrs exp) left despite competitive pay, suggesting non-monetary drivers and cited burnout from frequent overtime with limited support or upskilling."
1009,45,Production,Supervisor,10,106994,5,76,No,35,Yes,"Exiting Supervisor in Production (a mid-tenure employee, 10 yrs exp) left despite competitive pay, suggesting non-monetary drivers and was a strong, experienced performer who left for external career growth."
1010,57,Production,Supervisor,18,81133,5,97,No,18,No,"N/A - Active employee, no exit interview conducted."
